"id","title","status","created","updated","tags","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","type","source_title","author","statement","source_note","japanese_note","cautions","verification_needed"
"FACT_HAMNETT_JUAREZ_0009","French oppositionはJuárezとMexican republicansを支持した","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","probable","Hamnettは、Napoleon IIIに反対するフランス国内勢力がJuárezとMexican republicansを支持し、French Interventionの失敗を本国体制批判の材料にしたと整理している。","Hamnettは、Napoleon IIIに反対するフランス国内勢力がJuárezとMexican republicansを支持し、French Interventionの失敗を本国体制批判の材料にしたと整理している。","Source note: 前ページ末尾から続く文。 Japanese note: フランス国内政治とメキシコ遠征失敗を接続する視点。","Cautions: French oppositionの具体的人物・派閥はこのページだけでは未特定。 Verification needed: yes","パリ側の反帝政派がメキシコ戦況を政権批判に使う場面に利用可能。","Benito Juárez; Napoleon III","French Intervention","France; Mexico","French opposition; Mexican republicans; French Empire","anti-imperial opposition; international opinion","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Napoleon IIIに反対するフランス国内勢力がJuárezとMexican republicansを支持し、French Interventionの失敗を本国体制批判の材料にしたと整理している。","前ページ末尾から続く文。","フランス国内政治とメキシコ遠征失敗を接続する視点。","French oppositionの具体的人物・派閥はこのページだけでは未特定。","yes"
"FACT_HAMNETT_JUAREZ_0010","BismarckとPrussiaはメキシコ介入失敗から教訓を得た","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","probable","Hamnettは、BismarckとPrussian governmentが、French armyが分裂したアメリカ大陸の国家を制圧できなかったことから教訓を得たと述べている。","Hamnettは、BismarckとPrussian governmentが、French armyが分裂したアメリカ大陸の国家を制圧できなかったことから教訓を得たと述べている。","Source note: BismarckとPrussian governmentへの言及あり。 Japanese note: メキシコ遠征失敗を欧州国際政治へ接続する視点。","Cautions: 具体的なプロイセン側資料はこのページでは示されない。 Verification needed: yes","メキシコ帝政崩壊を普仏戦争前史の伏線として使える。","Bismarck; Napoleon III","French Intervention","Prussia; France; Mexico","Prussian government; French army","European diplomacy; military reputation; Franco-Prussian context","","","fact","Juárez","Brian R. Hamnett","Hamnettは、BismarckとPrussian governmentが、French armyが分裂したアメリカ大陸の国家を制圧できなかったことから教訓を得たと述べている。","BismarckとPrussian governmentへの言及あり。","メキシコ遠征失敗を欧州国際政治へ接続する視点。","具体的なプロイセン側資料はこのページでは示されない。","yes"
"FACT_HAMNETT_JUAREZ_0011","Latin AmericansはJuárezの抵抗を第二の独立闘争として見た","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","probable","Hamnettは、Latin AmericansがJuárezの抵抗を、欧州列強に対する第二の独立闘争、第二の欧州敗北、Conquestの逆転として見たと整理している。","Hamnettは、Latin AmericansがJuárezの抵抗を、欧州列強に対する第二の独立闘争、第二の欧州敗北、Conquestの逆転として見たと整理している。","Source note: Latin Americansによる受容の概括。 Japanese note: 共和派抵抗をラテンアメリカ全体の反欧州干渉意識に接続する。","Cautions: Latin Americansの具体的主体はこのページでは未特定。 Verification needed: yes","Juárez勝利をメキシコ一国の勝利ではなく大陸的象徴として描ける。","Benito Juárez","French Intervention; Fall of the Second Mexican Empire","Latin America; Mexico; Europe","European powers","anti-colonialism; independence; conquest memory","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Latin AmericansがJuárezの抵抗を、欧州列強に対する第二の独立闘争、第二の欧州敗北、Conquestの逆転として見たと整理している。","Latin Americansによる受容の概括。","共和派抵抗をラテンアメリカ全体の反欧州干渉意識に接続する。","Latin Americansの具体的主体はこのページでは未特定。","yes"
"FACT_HAMNETT_JUAREZ_0012","Hamnettは1867年のJuárez勝利を反植民地主義的勝利として位置付ける","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","confirmed","Hamnettは、1867年のJuárez側の勝利を、支配的帝国の時代における反植民地主義の勝利として解釈している。","Hamnettは、1867年のJuárez側の勝利を、支配的帝国の時代における反植民地主義の勝利として解釈している。","Source note: 1867年の勝利への評価。 Japanese note: 帝政崩壊を反植民地主義的勝利として見るHamnettの中心的解釈。","Cautions: これはHamnettの解釈であり、帝政側・保守派側の視点と照合すること。 Verification needed: yes","Maximilian処刑・帝政崩壊の共和派側意味付けに利用可能。","Benito Juárez; Maximilian; Napoleon III","Fall of the Second Mexican Empire; French Intervention","Mexico","Republic of Mexico; French Empire; Second Mexican Empire","anti-colonialism; national sovereignty; republican victory","","","fact","Juárez","Brian R. Hamnett","Hamnettは、1867年のJuárez側の勝利を、支配的帝国の時代における反植民地主義の勝利として解釈している。","1867年の勝利への評価。","帝政崩壊を反植民地主義的勝利として見るHamnettの中心的解釈。","これはHamnettの解釈であり、帝政側・保守派側の視点と照合すること。","yes"
"FACT_HAMNETT_JUAREZ_0013","HamnettはJuárezを権力追求に長けた熟練政治家としても描く","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","confirmed","Hamnettは、Juárezが欧州の同時代政治家と同様に、冷徹かつ感傷抜きに権力を追求した熟練政治家だったと評価している。","Hamnettは、Juárezが欧州の同時代政治家と同様に、冷徹かつ感傷抜きに権力を追求した熟練政治家だったと評価している。","Source note: Juárezの政治技量への評価。 Japanese note: 英雄化を避け、権力政治家としてのJuárezを扱う重要カード。","Cautions: 性格評価・政治評価であり、史実確定ではなく著者解釈。 Verification needed: yes","Juárezを理想主義者ではなく、冷徹な政権維持者として描ける。","Benito Juárez","Juárez political career","Mexico; Europe","Republic of Mexico","political pragmatism; power politics; political survival","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Juárezが欧州の同時代政治家と同様に、冷徹かつ感傷抜きに権力を追求した熟練政治家だったと評価している。","Juárezの政治技量への評価。","英雄化を避け、権力政治家としてのJuárezを扱う重要カード。","性格評価・政治評価であり、史実確定ではなく著者解釈。","yes"
"FACT_HAMNETT_JUAREZ_0014","Juárez神話はメキシコ政治神話の中心をなす","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","confirmed","Hamnettは、Juárezをめぐる崇拝や反発がメキシコ政治神話の中心を形成し、実際の人物像や政治家像を覆い隠してきたと述べている。","Hamnettは、Juárezをめぐる崇拝や反発がメキシコ政治神話の中心を形成し、実際の人物像や政治家像を覆い隠してきたと述べている。","Source note: Juárez像の神話化への批判。 Japanese note: Juárezを銅像的象徴ではなく、生身の政治家として扱うための基礎。","Cautions: Church opponentsの表現は文脈確認が必要。 Verification needed: no","銅像・肖像・式典と現実の政治判断を対比する場面に使える。","Benito Juárez","Juárez memory formation","Mexico","Catholic Church; Mexican liberals; Juárez opponents","cult of Juárez; political mythology; official hagiography; anti-clerical memory","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Juárezをめぐる崇拝や反発がメキシコ政治神話の中心を形成し、実際の人物像や政治家像を覆い隠してきたと述べている。","Juárez像の神話化への批判。","Juárezを銅像的象徴ではなく、生身の政治家として扱うための基礎。","Church opponentsの表現は文脈確認が必要。","no"
"FACT_HAMNETT_JUAREZ_0015","Juárez自身も自己像の形成に意識的だった","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xii","xii","n12 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","confirmed","Hamnettは、Juárez自身がイメージの力を意識し、服装を含めた独自の政治的人格を作り上げたと述べている。","Hamnettは、Juárez自身がイメージの力を意識し、服装を含めた独自の政治的人格を作り上げたと述べている。","Source note: Juárezの自己演出への言及。 Japanese note: Juárezの服装・態度・孤立した姿勢を政治的演出として扱える。","Cautions: 具体的な服装描写はこのページだけでは詳細不明。 Verification needed: yes","大統領の沈黙、黒服、簡素さ、儀礼的姿を象徴場面に利用可能。","Benito Juárez","Juárez public image formation","Mexico","Republic of Mexico","political image-making; national sovereignty; republican virtue","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Juárez自身がイメージの力を意識し、服装を含めた独自の政治的人格を作り上げたと述べている。","Juárezの自己演出への言及。","Juárezの服装・態度・孤立した姿勢を政治的演出として扱える。","具体的な服装描写はこのページだけでは詳細不明。","yes"
"FACT_HAMNETT_JUAREZ_0016","Juárezは寡黙だが感情を欠く人物ではなかった","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xiii","xiii","n13 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","primary_testimony","probable","Hamnettは、Juárezが内面をほとんど表に出さない寡黙な人物だった一方、妻や娘婿への私信には家族への感情が表れていると述べている。","Hamnettは、Juárezが内面をほとんど表に出さない寡黙な人物だった一方、妻や娘婿への私信には家族への感情が表れていると述べている。","Source note: Hamnettが私信に基づくと述べるが、原典はこのページでは未確認。 Japanese note: 公的人格と私的感情の対比。","Cautions: 書簡原文・時期・宛先は後続注で確認すること。 Verification needed: yes","家族から離れた戦時指導者としての内面描写に使える。","Benito Juárez; Juárez family","Juárez family separations","Mexico","Juárez family correspondence","private emotion; family separation; public reticence","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Juárezが内面をほとんど表に出さない寡黙な人物だった一方、妻や娘婿への私信には家族への感情が表れていると述べている。","Hamnettが私信に基づくと述べるが、原典はこのページでは未確認。","公的人格と私的感情の対比。","書簡原文・時期・宛先は後続注で確認すること。","yes"
"FACT_HAMNETT_JUAREZ_0017","Juárezの上昇には教育・法律実務・州政治・婚姻・Oaxaca人脈が重要だった","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xiii","xiii","n13 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","probable","Hamnettは、Juárezが教育、法律実務、州政治への早期参入、成功した結婚、Oaxaca出身者の親密な人脈によって不利を克服したと整理している。","Hamnettは、Juárezが教育、法律実務、州政治への早期参入、成功した結婚、Oaxaca出身者の親密な人脈によって不利を克服したと整理している。","Source note: Juárezの不利克服の要因整理。 Japanese note: Oaxaca地方政治から国政への接続要素。","Cautions: 具体的な人物名・婚姻関係は後続本文で確認すること。 Verification needed: yes","若年期・地方政治時代の背景設定に使える。","Benito Juárez","Juárez early political rise","Oaxaca; Mexico","Oaxacan networks","social mobility; provincial politics; legal profession; marriage alliance","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Juárezが教育、法律実務、州政治への早期参入、成功した結婚、Oaxaca出身者の親密な人脈によって不利を克服したと整理している。","Juárezの不利克服の要因整理。","Oaxaca地方政治から国政への接続要素。","具体的な人物名・婚姻関係は後続本文で確認すること。","yes"
"FACT_HAMNETT_JUAREZ_0018","HamnettはJuárezを主にプラグマティストとして位置付ける","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;preface","SRC_HAMNETT_1994_JUAREZ","PREFACE","PREFACE","printed page xiii","xiii","n13 / screenshot view page 13 of 323","","スクリーンショット 2026-06-13 17.22.31.jpeg","author_interpretation","confirmed","Hamnettは、Juárezを第一義的にはイデオローグではなく、国家の生存と実務的統治手段の発見に注力したプラグマティストとして位置付けている。","Hamnettは、Juárezを第一義的にはイデオローグではなく、国家の生存と実務的統治手段の発見に注力したプラグマティストとして位置付けている。","Source note: Juárezの政治思想上の位置付け。 Japanese note: Liberal heroではなく、国家存続を優先する実務家として扱う。","Cautions: Liberalismとの関係を弱めすぎないこと。実務主義と自由主義的正統性は併存しうる。 Verification needed: no","理念と生存戦略が衝突する場面に使える。","Benito Juárez","Juárez presidency","Mexico","Republic of Mexico; Juárez government","political pragmatism; state survival; administration; liberalism","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Juárezを第一義的にはイデオローグではなく、国家の生存と実務的統治手段の発見に注力したプラグマティストとして位置付けている。","Juárezの政治思想上の位置付け。","Liberal heroではなく、国家存続を優先する実務家として扱う。","Liberalismとの関係を弱めすぎないこと。実務主義と自由主義的正統性は併存しうる。","no"
