"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","type","date","event_summary","source_title","author","creative_use","verification_needed"
"TIME_HAMNETT_JUAREZ_0015","Zacatecasの銀経済が1817年以後に急速な回復を始めたとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;zacatecas;mining","1817","","year","Gregorian","historical_fact","probable","Zacatecasの銀経済が1817年以後に急速な回復を始めたとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","","Zacatecas","","silver economy;mining economy;regional recovery","FACT_HAMNETT_JUAREZ_0050","Creative use: 鉱業回復と州政治の台頭を接続する起点として使える。 Verification needed: yes","timeline","1817","Zacatecasの銀経済が1817年以後に急速な回復を始めたとされる。","Juárez","Brian R. Hamnett","鉱業回復と州政治の台頭を接続する起点として使える。","yes"
"TIME_HAMNETT_JUAREZ_0016","1824年憲法下の連邦制度においてZacatecasは大きな影響力を持ったとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;federalism;zacatecas","1824","","year","Gregorian","historical_fact","probable","1824年憲法下の連邦制度において、Zacatecasは大きな影響力を持ったとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","Constitution of 1824","Zacatecas;Mexico","federal government","federalism;constitutional government;state autonomy","FACT_HAMNETT_JUAREZ_0052;FACT_HAMNETT_JUAREZ_0053","Creative use: 連邦制が地域資源と州自律をめぐる政治秩序として働く背景に使える。 Verification needed: yes","timeline","1824","1824年憲法下の連邦制度において、Zacatecasは大きな影響力を持ったとされる。","Juárez","Brian R. Hamnett","連邦制が地域資源と州自律をめぐる政治秩序として働く背景に使える。","yes"
"TIME_HAMNETT_JUAREZ_0017","García Salinas州政期のZacatecas自由主義実験","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;garcia-salinas;zacatecas","1829","1835","approximate_period","Gregorian","author_interpretation","probable","Francisco García SalinasのZacatecas州政期に、教育機関・州立図書館・農業開発銀行などが整備され、自由主義実験の代表例とされた。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","Francisco García Salinas","","Zacatecas","Zacatecas state government","Liberalism;state reform;education;agrarian development","FACT_HAMNETT_JUAREZ_0051","Creative use: 地方自由主義の政策実験として、州政府の改革熱と限界を描ける。 Verification needed: yes","timeline","1829-1835","Francisco García SalinasのZacatecas州政期に、教育機関・州立図書館・農業開発銀行などが整備され、自由主義実験の代表例とされた。","Juárez","Brian R. Hamnett","地方自由主義の政策実験として、州政府の改革熱と限界を描ける。","yes"
"TIME_HAMNETT_JUAREZ_0018","Oaxaca中央渓谷の染料輸出ブームと衰退","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;oaxaca;economy","1760s","1790s","approximate_period","Gregorian","historical_fact","probable","Oaxaca中央渓谷の染料輸出ブームは1760年代に始まったが、1790年代には衰退したとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","","Oaxaca","","dye export;regional economy;Oaxaca","FACT_HAMNETT_JUAREZ_0059","Creative use: Oaxaca地方エリートの経済的弱さと新たな基盤探しの背景に使える。 Verification needed: yes","timeline","1760s-1790s","Oaxaca中央渓谷の染料輸出ブームは1760年代に始まったが、1790年代には衰退したとされる。","Juárez","Brian R. Hamnett","Oaxaca地方エリートの経済的弱さと新たな基盤探しの背景に使える。","yes"
"TIME_HAMNETT_JUAREZ_0019","1821年以後のOaxaca地方名家と新たな同盟形成","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;oaxaca;independence","1821","","year","Gregorian","author_interpretation","probable","1821年以後、Oaxacaではスペイン系商人・行政官・軍人・司教らの支配が崩れ、地方名家は新たな同盟形成を迫られたとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","Mexican independence","Oaxaca","","post-Independence politics;Hispanic elite;mestizos;Indians","FACT_HAMNETT_JUAREZ_0059","Creative use: 独立後の権威空白と地方名家の生存戦略を描く背景に使える。 Verification needed: yes","timeline","1821","1821年以後、Oaxacaではスペイン系商人・行政官・軍人・司教らの支配が崩れ、地方名家は新たな同盟形成を迫られたとされる。","Juárez","Brian R. Hamnett","独立後の権威空白と地方名家の生存戦略を描く背景に使える。","yes"
"TIME_HAMNETT_JUAREZ_0020","Juárez最初のOaxaca州知事期とZapotec villages反乱","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;oaxaca;tehuantepec;zapotec","1847","1852","approximate_period","Gregorian","author_interpretation","probable","Juárezの最初のOaxaca州知事期に、Isthmus of Tehuantepec南部のZapotec villagesの反乱が発生したとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","Benito Juárez","Juárez first state governorship;Zapotec villages insurrection","Oaxaca;Isthmus of Tehuantepec","Oaxaca state government","private property;Indigenous communities;state power","FACT_HAMNETT_JUAREZ_0060","Creative use: Juárezの地元政治を、州権力・私的所有・先住民共同体の緊張として描ける。 Verification needed: yes","timeline","1847-1852","Juárezの最初のOaxaca州知事期に、Isthmus of Tehuantepec南部のZapotec villagesの反乱が発生したとされる。","Juárez","Brian R. Hamnett","Juárezの地元政治を、州権力・私的所有・先住民共同体の緊張として描ける。","yes"
"TIME_HAMNETT_JUAREZ_0021","1830s-1840sのPueblaエリートの機械化構想","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;puebla;textiles","1830s","1840s","approximate_period","Gregorian","historical_fact","probable","Pueblaエリートは1830年代・1840年代に、機械化を経済停滞の解決策と見た。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","","Puebla","","textile industry;mechanization;industrialization","FACT_HAMNETT_JUAREZ_0063","Creative use: 産業家の近代化期待と政治的保護要求の背景として使える。 Verification needed: yes","timeline","1830s-1840s","Pueblaエリートは1830年代・1840年代に、機械化を経済停滞の解決策と見た。","Juárez","Brian R. Hamnett","産業家の近代化期待と政治的保護要求の背景として使える。","yes"
"TIME_HAMNETT_JUAREZ_0022","late 1840sのMexico初期工業化停滞","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;puebla;industrialization","late 1840s","","approximate_period","Gregorian","author_interpretation","probable","1840年代末、綿花不足と資本・技術・市場問題により、Mexicoの初期工業化は停滞したとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","","Puebla;Mexico","","industrialization;cotton shortage;capital;technology;market","FACT_HAMNETT_JUAREZ_0064","Creative use: 産業化の挫折を、保護主義や政治選択の背景として使える。 Verification needed: yes","timeline","late 1840s","1840年代末、綿花不足と資本・技術・市場問題により、Mexicoの初期工業化は停滞したとされる。","Juárez","Brian R. Hamnett","産業化の挫折を、保護主義や政治選択の背景として使える。","yes"
"TIME_HAMNETT_JUAREZ_0023","mid-1850sまでのVeracruz政治エリートとLiberalism支持","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;veracruz;liberalism","mid-1850s","","approximate_period","Gregorian","author_interpretation","probable","1850年代半ばまでに、Veracruzの政治エリートはLiberalismの主要支持者としての地位を固めたとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","","","Veracruz","merchant houses","Liberalism;import trade;port economy","FACT_HAMNETT_JUAREZ_0065","Creative use: VeracruzのLiberalism支持を、輸入貿易と港湾ネットワークに根差す政治選択として描ける。 Verification needed: yes","timeline","mid-1850s","1850年代半ばまでに、Veracruzの政治エリートはLiberalismの主要支持者としての地位を固めたとされる。","Juárez","Brian R. Hamnett","VeracruzのLiberalism支持を、輸入貿易と港湾ネットワークに根差す政治選択として描ける。","yes"
"TIME_HAMNETT_JUAREZ_0024","Oaxaca北部シエラは1870年代までjuarista supportの中核地帯だったとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;oaxaca;juarista","","1870s","approximate_period","Gregorian","historical_fact","probable","Oaxaca北部シエラは1870年代までjuarista supportの中核地帯であり続けたとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","Benito Juárez","","Oaxaca;northern sierra of Oaxaca","","juarista support;regional political base","FACT_HAMNETT_JUAREZ_0058","Creative use: Juárez支持の地域的持続性を描く背景として使える。 Verification needed: yes","timeline","until 1870s","Oaxaca北部シエラは1870年代までjuarista supportの中核地帯であり続けたとされる。","Juárez","Brian R. Hamnett","Juárez支持の地域的持続性を描く背景として使える。","yes"
