"id","title","status","created","updated","tags","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","source_title","author","source_note","japanese_note","cautions","verification_needed","related_capture"
"FACT_HAMNETT_JUAREZ_0174","植民地社会では土地を含むpatron-client関係が政治社会を特徴づけた","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;patron-client","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、前ページから続く文脈で、植民地社会を特徴づけた関係として、土地を含むpatron-client relationshipsを位置づけている。ただし文頭は前ページにまたがるため完全な文の復元は要確認。","Hamnettは、前ページから続く文脈で、植民地社会を特徴づけた関係として、土地を含むpatron-client relationshipsを位置づけている。ただし文頭は前ページにまたがるため完全な文の復元は要確認。","Source note: 前ページ末尾から続くため、前ページ画像との接続再確認が必要。 Japanese note: 植民地期の恩顧関係が独立後政治文化の前提として扱われている。","Cautions: 文頭が前ページにあるため断定的な全文復元は禁止。 Verification needed: yes","地主・庇護者・従属者の関係が近代政治にも残存する背景描写に使える。","","","Mexico","","Patron Client Politics;colonial legacy;Landownership","FACT_HAMNETT_JUAREZ_0077","","Juárez","Brian R. Hamnett","前ページ末尾から続くため、前ページ画像との接続再確認が必要。","植民地期の恩顧関係が独立後政治文化の前提として扱われている。","文頭が前ページにあるため断定的な全文復元は禁止。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0175","メキシコではpersonalismが政党対立と不可分に発展した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;personalism-party-politics","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、メキシコでは1830年代半ばから1870年代半ばにかけて政党対立が激化し、思想的分極化、政党政治、社会対立、personalismが不可分だったと整理する。","Hamnettは、メキシコでは1830年代半ばから1870年代半ばにかけて政党対立が激化し、思想的分極化、政党政治、社会対立、personalismが不可分だったと整理する。","Source note: Hamnettによる比較政治史的整理。 Japanese note: メキシコのpersonalismは、政党政治の欠如ではなく政党対立と絡み合うものとして描かれる。","Cautions: 期間区分はHamnettの整理。他研究との照合が望ましい。 Verification needed: yes","思想対立と個人関係が同時に動く政治劇として描ける。","","","Mexico","Liberal Party;Conservative Party","Personalism;Party Politics;Ideological Polarization;Social Conflict","FACT_HAMNETT_JUAREZ_0167","","Juárez","Brian R. Hamnett","Hamnettによる比較政治史的整理。","メキシコのpersonalismは、政党政治の欠如ではなく政党対立と絡み合うものとして描かれる。","期間区分はHamnettの整理。他研究との照合が望ましい。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0176","軍人政治家の介入は文民政治家からの働きかけとも結びついていた","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;military-politics-civilians","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、Bustamante、Paredes、Santa Annaらの介入を、単なる個人的野心ではなく、文民政治家からの働きかけへの応答としても説明する。","Hamnettは、Bustamante、Paredes、Santa Annaらの介入を、単なる個人的野心ではなく、文民政治家からの働きかけへの応答としても説明する。","Source note: Hamnettの解釈。 Japanese note: 軍人独裁者が一方的に政治を破壊したという単純図式を避ける材料。","Cautions: 個別事例ごとの動機は別史料で確認する必要がある。 Verification needed: yes","文民政治家が軍人を利用し、逆に利用される場面に使える。","Anastasio Bustamante;Mariano Paredes y Arrillaga;Antonio Lopez de Santa Anna","","Mexico","","Military Politics;Civilian Politicians;Personalism;Factionalism","FACT_HAMNETT_JUAREZ_0158;FACT_HAMNETT_JUAREZ_0172","","Juárez","Brian R. Hamnett","Hamnettの解釈。","軍人独裁者が一方的に政治を破壊したという単純図式を避ける材料。","個別事例ごとの動機は別史料で確認する必要がある。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0177","文民政治家は議会外手段によって政権変更を図った","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;extra-parliamentary","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、現政権を除去する機会や能力を欠いた文民政治家が、目的達成のために議会外手段へ訴えたと説明する。","Hamnettは、現政権を除去する機会や能力を欠いた文民政治家が、目的達成のために議会外手段へ訴えたと説明する。","Source note: “extra-parliamentary means”が短い原文確認語。 Japanese note: 憲法政治の内側で解決できない対立が、外部手段を呼び込む構図。","Cautions: 具体的手段は各事件ごとに確認すること。 Verification needed: yes","議会内の行き詰まりから軍事的・蜂起的解決へ流れる場面に使える。","","","Mexico","Liberal Party;Conservative Party","Extra Parliamentary Politics;Constitutionalism;Factionalism","FACT_HAMNETT_JUAREZ_0167","","Juárez","Brian R. Hamnett","“extra-parliamentary means”が短い原文確認語。","憲法政治の内側で解決できない対立が、外部手段を呼び込む構図。","具体的手段は各事件ごとに確認すること。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0178","自由派も保守派も軍人・caudilloとの協力に依存した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;caudillo-alliances","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、Santa AnnaやGuerreroとの協力例を通じて、自由派も保守派も軍人・caudilloとの協力という誘惑を避けられなかったと見る。","Hamnettは、Santa AnnaやGuerreroとの協力例を通じて、自由派も保守派も軍人・caudilloとの協力という誘惑を避けられなかったと見る。","Source note: Gómez Farías-Santa Anna、Zavala-Guerreroの関係が例示される。 Japanese note: 自由派を純粋な合法主義勢力として固定しないための重要箇所。","Cautions: 協力の性質は時期・局面ごとに異なる。 Verification needed: yes","共和派・自由派内部の現実主義と理念の緊張に使える。","Valentin Gomez Farias;Antonio Lopez de Santa Anna;Lorenzo de Zavala;Vicente Guerrero","","Mexico","Liberal Party;Conservative Party","Caudillismo;Military Politics;Mexican Liberalism;Conservative Politics","FACT_HAMNETT_JUAREZ_0161;FACT_HAMNETT_JUAREZ_0156","","Juárez","Brian R. Hamnett","Gómez Farías-Santa Anna、Zavala-Guerreroの関係が例示される。","自由派を純粋な合法主義勢力として固定しないための重要箇所。","協力の性質は時期・局面ごとに異なる。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0179","Zavalaは1828-29年にGuerreroと協力した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;zavala-guerrero","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","historical_fact","probable","Hamnettは、Zavalaが1828-29年に元反乱指導者caudilloであるGuerreroと協力したことを、自由派と軍人政治の結合例として挙げる。","Hamnettは、Zavalaが1828-29年に元反乱指導者caudilloであるGuerreroと協力したことを、自由派と軍人政治の結合例として挙げる。","Source note: 10枚目のAcordada叙述とも接続。 Japanese note: 自由派の政治戦術として軍人との同盟が位置づけられる。","Cautions: 具体的経緯はAcordada関係史料で確認。 Verification needed: yes","Zavalaを理念家かつ現実政治家として描く補助線。","Lorenzo de Zavala;Vicente Guerrero","Rebellion of the Acordada;Guerrero Presidency","Mexico","Liberal Party","Caudillismo;Mexican Liberalism;Military Politics","FACT_HAMNETT_JUAREZ_0155;FACT_HAMNETT_JUAREZ_0156","","Juárez","Brian R. Hamnett","10枚目のAcordada叙述とも接続。","自由派の政治戦術として軍人との同盟が位置づけられる。","具体的経緯はAcordada関係史料で確認。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0180","後続世代の自由派はJuan Álvarezと協力した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;juan-alvarez","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、後続世代の自由派が、Guerreroの精神的後継者で太平洋側内陸地帯のcaciqueであったJuan Álvarezと協力したと説明する。","Hamnettは、後続世代の自由派が、Guerreroの精神的後継者で太平洋側内陸地帯のcaciqueであったJuan Álvarezと協力したと説明する。","Source note: Juan Álvarezの位置づけはHamnettの評価を含む。 Japanese note: 地方権力者と自由派改革派の結合が示される。","Cautions: “spiritual heir”や“cacique”の評価は他研究と照合。 Verification needed: yes","地方軍事権力と都市自由派の連合を描く材料。","Juan Alvarez;Vicente Guerrero","Revolution of Ayutla","Pacific Hinterland Zone;Mexico","Liberal Party","Caciquismo;Regionalism;Liberal Reform;Patron Client Politics","FACT_HAMNETT_JUAREZ_0179","","Juárez","Brian R. Hamnett","Juan Álvarezの位置づけはHamnettの評価を含む。","地方権力者と自由派改革派の結合が示される。","“spiritual heir”や“cacique”の評価は他研究と照合。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0181","Juan Álvarezとの結合はAyutla革命後の自由主義改革への道を開いた","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;ayutla-liberal-reform","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、Juan Álvarezとの密接な結合が、Santa Anna退去後にRevolution of Ayutlaを権力へ導く連合形成を可能にし、1855年8月以後にLiberal Reformへの道を開いたと説明する。","Hamnettは、Juan Álvarezとの密接な結合が、Santa Anna退去後にRevolution of Ayutlaを権力へ導く連合形成を可能にし、1855年8月以後にLiberal Reformへの道を開いたと説明する。","Source note: March 1854、August 1855の時期表示あり。 Japanese note: Reformaは抽象理念だけでなく、地方軍事・政治連合の結果として提示される。","Cautions: Revolution of Ayutlaの開始、Santa Anna退去、Álvarez政権成立の時系列は別途精査。 Verification needed: yes","La Reforma前夜の政治的連合形成を描く中核材料。","Juan Alvarez;Antonio Lopez de Santa Anna","Revolution of Ayutla;Reforma","Mexico","Liberal Party","Liberal Reform;Regionalism;Coalition Politics;Caudillismo","FACT_HAMNETT_JUAREZ_0180;FACT_HAMNETT_JUAREZ_0173","","Juárez","Brian R. Hamnett","March 1854、August 1855の時期表示あり。","Reformaは抽象理念だけでなく、地方軍事・政治連合の結果として提示される。","Revolution of Ayutlaの開始、Santa Anna退去、Álvarez政権成立の時系列は別途精査。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0182","独立後の政治関係は有力者ネットワーク中心へ変化した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;post-independence-networks","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、1821年以後のメキシコでは、政治関係が植民地期の王冠・臣民、総督・audiencia、法人団体、司法官僚制、インディアン共同体の関係から、有力者の輪を中心とする関係へ変化したと整理する。","Hamnettは、1821年以後のメキシコでは、政治関係が植民地期の王冠・臣民、総督・audiencia、法人団体、司法官僚制、インディアン共同体の関係から、有力者の輪を中心とする関係へ変化したと整理する。","Source note: 1821年以後の政治社会構造の変化に関するHamnettの概括。 Japanese note: 独立は制度名の変更だけでなく、政治関係の再編として理解される。","Cautions: 地域差・社会階層差の確認が必要。 Verification needed: yes","植民地制度の崩壊後、誰が人や思想を動員できるかが政治力になる描写に使える。","","Wars of Independence Mexico","Mexico","Audiencias New Spain;Indian Communities","colonial legacy;Patron Client Politics;Clientelism;Political Culture","FACT_HAMNETT_JUAREZ_0084","","Juárez","Brian R. Hamnett","1821年以後の政治社会構造の変化に関するHamnettの概括。","独立は制度名の変更だけでなく、政治関係の再編として理解される。","地域差・社会階層差の確認が必要。","yes","CAP_HAMNETT_JUAREZ_0011"
"FACT_HAMNETT_JUAREZ_0183","高次の思想対立は人的対立を通じて表現された","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter1;ideas-personal-rivalries","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 16-17","16-17","/page/16/mode/2up; Page 16 (31/323)","","スクリーンショット 2026-06-13 17.23.01.jpeg","author_interpretation","probable","Hamnettは、保守主義と自由主義、中央集権と連邦制、共和政と君主制、世俗主義と宗教擁護といった対立が、実際には人的関係や個人的対立を通じて表現されたと見る。","Hamnettは、保守主義と自由主義、中央集権と連邦制、共和政と君主制、世俗主義と宗教擁護といった対立が、実際には人的関係や個人的対立を通じて表現されたと見る。","Source note: Hamnettの政治文化論的整理。 Japanese note: 思想史と人物史を切り離せないという観点。","Cautions: personalismに還元しすぎず、理念の実質も保持すること。 Verification needed: yes","同じ理念対立を、人物間の怒り・恩義・侮辱・利害を通じて描ける。","","","Mexico","Liberal Party;Conservative Party;Catholic Church","Personalism;Ideological Conflict;federalism;Centralism;Republicanism;Monarchy;Secularization;Defence of Religion","FACT_HAMNETT_JUAREZ_0175","","Juárez","Brian R. Hamnett","Hamnettの政治文化論的整理。","思想史と人物史を切り離せないという観点。","personalismに還元しすぎず、理念の実質も保持すること。","yes","CAP_HAMNETT_JUAREZ_0011"
