"id","title","status","created","updated","tags","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","printed_page_status","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","source_title","author","source_note","japanese_note","cautions","verification_needed","related_capture"
"FACT_HAMNETT_JUAREZ_0259","前ページ末尾の副大統領はValentín Gómez Faríasである","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;liberal-experiment","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","confirmed","p.23末尾の “under his Vice-President,” はp.24冒頭のGómez Faríasに接続し、Santa Anna政権下の副大統領Valentín Gómez Faríasを指す。","p.23末尾の “under his Vice-President,” はp.24冒頭のGómez Faríasに接続し、Santa Anna政権下の副大統領Valentín Gómez Faríasを指す。","Source note: p.23-24をまたぐ文接続の確認。 Japanese note: 14枚目で未確定だった副大統領名の確定。","Cautions: 接続確認済みだが、政策内容の詳細は別カードで扱う。 Verification needed: no","Santa AnnaとGómez Faríasの二重政権的構図を導入する場面に使える。","Valentín Gómez Farías;Antonio López de Santa Anna","Liberal Experiment of 1833-34;Gómez Farías reforms","Mexico","Liberal Party","Reform prehistory;Church and State","","","Juárez","Brian R. Hamnett","p.23-24をまたぐ文接続の確認。","14枚目で未確定だった副大統領名の確定。","接続確認済みだが、政策内容の詳細は別カードで扱う。","no","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0260","Ramírez de Aguilarは1833年1月から1834年6月までOaxaca州知事を再び務めた","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;oaxaca-politics","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","Hamnettによれば、Ramírez de AguilarはOaxacaで1833年1月から1834年6月まで再び知事職に就いた。","Hamnettによれば、Ramírez de AguilarはOaxacaで1833年1月から1834年6月まで再び知事職に就いた。","Source note: Oaxaca州知事再任期間の記述。 Japanese note: Juárez初期政治経歴の州政背景。","Cautions: 在任期間は州政府記録で照合する。 Verification needed: yes","Juárezが州政治へ入る時期の庇護者・制度背景として使える。","Ramón Ramírez de Aguilar;Benito Juárez","","Oaxaca","Oaxaca state legislature","Oaxaca provincial liberalism;Juárez early political career","","","Juárez","Brian R. Hamnett","Oaxaca州知事再任期間の記述。","Juárez初期政治経歴の州政背景。","在任期間は州政府記録で照合する。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0261","Juárezは1830年にInstituteの物理学代講教授となった","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;legal-formation","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","Juárezは1830年にInstitute of Sciences and Artsで物理学の代講教授となり、その給与で法学課程を続けた。","Juárezは1830年にInstitute of Sciences and Artsで物理学の代講教授となり、その給与で法学課程を続けた。","Source note: Instituteでの代講教授職。 Japanese note: 学業継続と生活費の接点。","Cautions: 任命記録、授業内容、給与額は別資料で確認する。 Verification needed: yes","若いJuárezを生活費を得ながら学ぶ職業的上昇の人物として描ける。","Benito Juárez","Juárez final law examination 1834","Oaxaca","Institute of Sciences and Arts of Oaxaca","Juárez legal career formation;Juárez early political career","","","Juárez","Brian R. Hamnett","Instituteでの代講教授職。","学業継続と生活費の接点。","任命記録、授業内容、給与額は別資料で確認する。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0262","JuárezはInstituteでの給与により法学課程を続けた","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;legal-formation","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","JuárezはInstituteで物理学代講教授として得た少額給与により、法学課程を修了するための費用をまかなった。","JuárezはInstituteで物理学代講教授として得た少額給与により、法学課程を修了するための費用をまかなった。","Source note: 代講教授給与と法学課程継続。 Japanese note: 教育機関が思想だけでなく生活基盤にもなった点。","Cautions: 給与額と支出の詳細は要確認。 Verification needed: yes","Instituteを思想の場だけでなく、給与・資格・ネットワークの場として描ける。","Benito Juárez","","Oaxaca","Institute of Sciences and Arts of Oaxaca","Juárez legal career formation;Juárez early political career","","","Juárez","Brian R. Hamnett","代講教授給与と法学課程継続。","教育機関が思想だけでなく生活基盤にもなった点。","給与額と支出の詳細は要確認。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0263","JuárezはTiburcio Cañasの法律事務所で実務経験を積んだ","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;legal-practice","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","Juárezは1831年にInstituteの教師であったTiburcio Cañasの法律事務所で実務経験を得た。","Juárezは1831年にInstituteの教師であったTiburcio Cañasの法律事務所で実務経験を得た。","Source note: Tiburcio Cañasの法律事務所での実務経験。 Japanese note: 法学教育から法律実務への接続。","Cautions: Cañasの人物比定、事務所所在地、具体業務は要確認。 Verification needed: yes","Juárezが書物だけでなく実務現場で法を学ぶ場面に使える。","Benito Juárez;Tiburcio Cañas","","Oaxaca","Institute of Sciences and Arts of Oaxaca","Juárez legal career formation","","","Juárez","Brian R. Hamnett","Tiburcio Cañasの法律事務所での実務経験。","法学教育から法律実務への接続。","Cañasの人物比定、事務所所在地、具体業務は要確認。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0264","López Ortigozaの支援によりJuárezは1832年Oaxaca市参事会に選出された","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;city-council","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","Hamnettによれば、López Ortigoza知事の支援により、Juárezは1832年のOaxaca市参事会へ選出された。","Hamnettによれば、López Ortigoza知事の支援により、Juárezは1832年のOaxaca市参事会へ選出された。","Source note: Oaxaca市参事会選出と知事支援。 Japanese note: 人的庇護と地方政治参入。","Cautions: López Ortigozaのフルネームと選出手続を確認する。 Verification needed: yes","Juárezが人脈と庇護を通じて地方行政へ入る場面に使える。","Benito Juárez;López Ortigoza","","Oaxaca","Oaxaca city council","Juárez early political career;Oaxaca provincial liberalism","","","Juárez","Brian R. Hamnett","Oaxaca市参事会選出と知事支援。","人的庇護と地方政治参入。","López Ortigozaのフルネームと選出手続を確認する。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0265","Ramírez de Aguilarは1833年初めにJuárezを州議会へ送った","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;state-legislature","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","1833年初め、Ramírez de AguilarはInstitute書記であったJuárezをOaxaca州議会へ送った。","1833年初め、Ramírez de AguilarはInstitute書記であったJuárezをOaxaca州議会へ送った。","Source note: Institute書記から州議会への移行。 Japanese note: 教育機関と州政治の連絡。","Cautions: 選出・任命の形式、州議会での役割を確認する。 Verification needed: yes","Institute人脈が州政治へ接続する場面として使える。","Benito Juárez;Ramón Ramírez de Aguilar","","Oaxaca","Institute of Sciences and Arts of Oaxaca;Oaxaca state legislature","Juárez early political career;Oaxaca provincial liberalism","","","Juárez","Brian R. Hamnett","Institute書記から州議会への移行。","教育機関と州政治の連絡。","選出・任命の形式、州議会での役割を確認する。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0266","JuárezはGómez Farías体制期の地方政治を直接経験した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;local-politics","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","JuárezはOaxaca市参事会および州議会での活動を通じ、Gómez Farías体制期の地方政治を直接経験した。","JuárezはOaxaca市参事会および州議会での活動を通じ、Gómez Farías体制期の地方政治を直接経験した。","Source note: 市参事会・州議会経験とGómez Farías期の接続。 Japanese note: 全国改革期を地方政治の経験として見るカード。","Cautions: 具体的議事・投票行動は別資料で確認する。 Verification needed: yes","全国政治が地方制度でどう経験されるかを描く導線になる。","Benito Juárez;Valentín Gómez Farías","Liberal Experiment of 1833-34","Oaxaca","Oaxaca city council;Oaxaca state legislature","Juárez early political career;Reform prehistory","","","Juárez","Brian R. Hamnett","市参事会・州議会経験とGómez Farías期の接続。","全国改革期を地方政治の経験として見るカード。","具体的議事・投票行動は別資料で確認する。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0267","Juárezは1834年1月に最終法学試験に合格した","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;law-exam","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","Juárezは1834年1月にState Courtが用意した試験を受け、優秀な成績で合格し、Oaxaca州内で弁護士として活動する資格を得た。","Juárezは1834年1月にState Courtが用意した試験を受け、優秀な成績で合格し、Oaxaca州内で弁護士として活動する資格を得た。","Source note: 1834年1月の最終法学試験。 Japanese note: 法曹資格取得の節目。","Cautions: 試験制度、成績記録、資格付与文書は要確認。 Verification needed: yes","法曹としての公的承認を得る場面に使える。","Benito Juárez","Juárez final law examination 1834","Oaxaca","State Court of Justice","Juárez legal career formation","","","Juárez","Brian R. Hamnett","1834年1月の最終法学試験。","法曹資格取得の節目。","試験制度、成績記録、資格付与文書は要確認。","yes","CAP_HAMNETT_JUAREZ_0015"
"FACT_HAMNETT_JUAREZ_0268","JuárezはOaxaca州内で公式に弁護士資格を受けた最初の人物だった","draft","2026-06-21","2026-06-21","fact-card;hamnett;juarez;chapter2;law-license","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","confirmed","historical_fact","probable","Hamnettによれば、JuárezはOaxaca州内で公式に弁護士資格を受けた最初の人物だった。","Hamnettによれば、JuárezはOaxaca州内で公式に弁護士資格を受けた最初の人物だった。","Source note: Oaxaca州内での最初の公式弁護士資格者という記述。 Japanese note: 新州制度の制度形成とJuárez個人経歴の接点。","Cautions: 一次資料と州法上の資格制度を確認する。 Verification needed: yes","制度の新しさとJuárezの上昇を重ねる描写に使える。","Benito Juárez","Juárez final law examination 1834","Oaxaca","State Court of Justice","Juárez legal career formation;Reform prehistory","","","Juárez","Brian R. Hamnett","Oaxaca州内での最初の公式弁護士資格者という記述。","新州制度の制度形成とJuárez個人経歴の接点。","一次資料と州法上の資格制度を確認する。","yes","CAP_HAMNETT_JUAREZ_0015"
