id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions
FACT_MEXEMP_2280,4月27日未明、帝政側の攻撃開始合図が出された,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,91枚目末尾から続く叙述では、敵陣で起床ラッパが鳴る中、帝政側の攻撃合図が出され、両軍砲兵が交戦を始めた。,91枚目末尾から続く叙述では、敵陣で起床ラッパが鳴る中、帝政側の攻撃合図が出され、両軍砲兵が交戦を始めた。,Source note: reveille Japanese note: 91枚目末尾のAsからの接続箇所。,Cautions: 具体時刻は本文だけでは未確定。 Verification needed: yes.,未明の緊迫した攻撃開始場面に使える。,Maximilian; Miguel Miramón,attempted breakout from Querétaro,Querétaro,imperial army; republican forces,siege warfare; military assault,,
FACT_MEXEMP_2281,帝政側は騎兵とErnst Pitner率いる歩兵の二列で共和派線へ突入した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,帝政側は煙の中から、騎兵部隊とErnst Pitner率いる歩兵部隊の二つの縦隊で共和派陣線へ突入した。,帝政側は煙の中から、騎兵部隊とErnst Pitner率いる歩兵部隊の二つの縦隊で共和派陣線へ突入した。,Source note: Ernst Pitner Japanese note: 攻撃部隊の構成。,Cautions: Pitnerの身分・役割は別途確認。 Verification needed: yes.,戦場の視覚描写に使える。,Ernst Pitner; Miguel Miramón,attempted breakout from Querétaro,Querétaro,imperial army; republican forces,infantry; cavalry; siege warfare,,
FACT_MEXEMP_2282,共和派部隊は奇襲と側面攻撃で一時的に崩れた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,共和派部隊は帝政側の奇襲と側面攻撃を受け、一時的に崩れて退却した。,共和派部隊は帝政側の奇襲と側面攻撃を受け、一時的に崩れて退却した。,Source note: outflanked Japanese note: 帝政側攻撃の初動成功。,Cautions: 共和派側史料で被害・退却規模を確認したい。 Verification needed: yes.,希望が一瞬だけ開ける場面として使える。,Ramón Corona; Miguel Miramón,attempted breakout from Querétaro,Querétaro,republican forces; imperial army,battlefield reversal,,
FACT_MEXEMP_2283,Coronaは自陣を蹂躙され兵を散乱させられた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Shawcrossの叙述では、共和派側の副司令官Coronaは自陣を蹂躙され、兵士を完全に散乱させられた。,Shawcrossの叙述では、共和派側の副司令官Coronaは自陣を蹂躙され、兵士を完全に散乱させられた。,Source note: General Corona Japanese note: Coronaは共和派側の第二指揮官として言及される。,Cautions: 完全に散乱という表現はShawcross叙述に依存。 Verification needed: yes.,共和派側にも一時的混乱が生じた描写に使える。,Ramón Corona,attempted breakout from Querétaro,Querétaro,republican forces; liberal forces,command disruption,,
FACT_MEXEMP_2284,帝政側は砲・捕虜・弾薬・食糧を奪取した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,帝政側は攻撃成功により、二十門の砲、多数の捕虜、弾薬、食糧を奪取した。,帝政側は攻撃成功により、二十門の砲、多数の捕虜、弾薬、食糧を奪取した。,Source note: twenty guns Japanese note: 食糧と弾薬の獲得が特に重要とされる。,Cautions: 数量は別史料で確認。 Verification needed: yes.,飢餓包囲下での一時的成功として使える。,Miguel Miramón,attempted breakout from Querétaro,Querétaro,imperial army; republican forces,captured supplies; siege logistics,,
FACT_MEXEMP_2285,飢えたQuerétaro住民は放棄された共和派線で食糧を奪った,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,飢餓状態のQuerétaro住民は、放棄された共和派陣地へ走り、残されていた食糧を奪った。,飢餓状態のQuerétaro住民は、放棄された共和派陣地へ走り、残されていた食糧を奪った。,Source note: starved townspeople Japanese note: 包囲戦が民間人飢餓を生んでいたことを示す。,Cautions: 住民行動の規模は未確認。 Verification needed: yes.,市民視点の包囲描写に有用。,,Siege of Querétaro,Querétaro,townspeople of Querétaro; republican forces,civilian suffering; starvation,,
FACT_MEXEMP_2286,Maximilianは修道院から戦場へ到着しMiramónを祝福した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Maximilianは修道院で知らせを待っていたが、勝利の知らせを受けて現場へ向かい、Miramónを祝福して占拠された敵線を視察した。,Maximilianは修道院で知らせを待っていたが、勝利の知らせを受けて現場へ向かい、Miramónを祝福して占拠された敵線を視察した。,Source note: convent Japanese note: Maximilianは戦闘直後の占領線を視察した。,Cautions: 修道院の具体名はこのページだけでは不明。 Verification needed: yes.,皇帝が勝利に乗り出す場面に使える。,Maximilian; Miguel Miramón,attempted breakout from Querétaro,Querétaro; convent,imperial army,imperial leadership; battlefield inspection,,
FACT_MEXEMP_2287,Miramónは兵士に皇帝万歳を叫ばせた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,primary_testimony,probable,勝利直後、Miramónは兵士たちへ呼びかけ、Maximilianへの歓呼を引き出した。,勝利直後、Miramónは兵士たちへ呼びかけ、Maximilianへの歓呼を引き出した。,Source note: Soldiers Japanese note: 演説・歓呼の場面。,Cautions: 発言再現は原典未確認。自由な民意ではなく軍内儀礼として扱う。 Verification needed: yes.,儀礼的な忠誠演出として使える。,Miguel Miramón; Maximilian,attempted breakout from Querétaro,Querétaro,imperial army; imperialistas,military morale; imperial ritual,,
FACT_MEXEMP_2288,初動勝利によりMexico Cityへの道が一時的に開いた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Miramónの勝利により、Querétaro南方の丘陵が一時的に開け、Escobedoの再配置までには時間がかかるため、Mexico Cityへの脱出路が開いたと判断された。,Miramónの勝利により、Querétaro南方の丘陵が一時的に開け、Escobedoの再配置までには時間がかかるため、Mexico Cityへの脱出路が開いたと判断された。,Source note: road to Mexico City Japanese note: 勝機が一時的に生じた場面。,Cautions: 実際に突破可能だったかは別途検証が必要。 Verification needed: yes.,今なら逃げられるという緊張を作れる。,Miguel Miramón; Mariano Escobedo,attempted breakout from Querétaro,Querétaro; Mexico City,imperial army; republican forces,escape route; siege warfare,,
FACT_MEXEMP_2289,Miramónは即時脱出より側面確保を優先した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 285/400,No.4026/7062,スクリーンショット 2026-05-31 13.11.24.png,historical_fact,probable,Miramónはすぐに脱出せず、脱出前に側面を確保するため部隊再編を行った。,Miramónはすぐに脱出せず、脱出前に側面を確保するため部隊再編を行った。,Source note: secure the flanks Japanese note: 勝機を逃した可能性のある判断。,Cautions: 後知恵での失策評価にならないよう注意。 Verification needed: yes.,戦術判断の迷い・慎重さ・遅延として描ける。,Miguel Miramón,attempted breakout from Querétaro,Querétaro,imperial army,tactical delay; command decision,,
