"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","type","date","event_summary","source_title","creative_use","verification_needed"
"TIME_MEXEMP_0404","1867年6月18日、Agnes Salm-SalmはJuárezに助命を嘆願した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-18","","inferred_day","Gregorian","primary_testimony","probable","処刑前日、Agnes Salm-SalmはJuárezに面会し、Maximilianらの赦免を嘆願したが、Juárezは拒否した。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Agnes Salm-Salm; Benito Juárez; Maximilian","pardon petitions","San Luis Potosí","Juárez government; Republic of Mexico","clemency; sovereignty; execution politics","FACT_MEXEMP_2485;FACT_MEXEMP_2486","Creative use: 最後の助命嘆願場面として使える。 Verification needed: yes.","timeline_entry","1867-06-18","処刑前日、Agnes Salm-SalmはJuárezに面会し、Maximilianらの赦免を嘆願したが、Juárezは拒否した。","The Last Emperor of Mexico: A Disaster in the New World","最後の助命嘆願場面として使える。","yes"
"TIME_MEXEMP_0405","1867年6月18日、Concepción LombardoはJuárezとの面会を許されなかった","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-18","","inferred_day","Gregorian","primary_testimony","probable","Concepción LombardoはJuárezとの面会を求められたが、面会を許されなかった。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Concepción Lombardo; Benito Juárez; Rafael Martínez de la Torre","pardon petitions","San Luis Potosí","Juárez government","clemency; execution politics","FACT_MEXEMP_2487;FACT_MEXEMP_2488;FACT_MEXEMP_2489","Creative use: 助命工作の遮断として使える。 Verification needed: yes.","timeline_entry","1867-06-18","Concepción LombardoはJuárezとの面会を求められたが、面会を許されなかった。","The Last Emperor of Mexico: A Disaster in the New World","助命工作の遮断として使える。","yes"
"TIME_MEXEMP_0406","1867年6月18日、MaximilianはMagnusに死の受容を語った","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-18","","inferred_day","Gregorian","primary_testimony","probable","MaximilianはMagnusに対し、死を受け入れており、延期がむしろ苦痛だったという趣旨を語った。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian; Baron Anton von Magnus","Execution of Maximilian, Miramón and Mejía","Querétaro","Prussian legation","death acceptance; martyrdom narrative","FACT_MEXEMP_2493;FACT_MEXEMP_2494","Creative use: 処刑前日の対話として使える。 Verification needed: yes.","timeline_entry","1867-06-18","MaximilianはMagnusに対し、死を受け入れており、延期がむしろ苦痛だったという趣旨を語った。","The Last Emperor of Mexico: A Disaster in the New World","処刑前日の対話として使える。","yes"
"TIME_MEXEMP_0407","1867年6月18日、MaximilianにはCarlota死亡の誤報が届いた","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-18","","inferred_day","Gregorian","primary_testimony","probable","MaximilianにはCarlotaが死んだという誤報が届き、彼はCarlotaとの再会を思って死を受け入れる趣旨をMagnusに語った。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian; Carlota; Baron Anton von Magnus","Execution of Maximilian, Miramón and Mejía","Querétaro","Mexican Empire; Prussian legation","rumor; marital devotion; death narrative","FACT_MEXEMP_2495;FACT_MEXEMP_2496;FACT_MEXEMP_2497","Creative use: 誤報による悲劇的慰めとして使える。 Verification needed: yes.","timeline_entry","1867-06-18","MaximilianにはCarlotaが死んだという誤報が届き、彼はCarlotaとの再会を思って死を受け入れる趣旨をMagnusに語った。","The Last Emperor of Mexico: A Disaster in the New World","誤報による悲劇的慰めとして使える。","yes"
"TIME_MEXEMP_0408","1867年6月18日午後10時頃、Maximilianは宗教書を読んで眠った","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-18 22:00","","approximate_hour","Gregorian","primary_testimony","probable","処刑前夜、MaximilianはThomas à Kempisの『キリストに倣いて』を読み、午後10時頃に眠りについた。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian; Thomas à Kempis","Execution of Maximilian, Miramón and Mejía","Querétaro","Catholic Church","Catholic devotion; final night","FACT_MEXEMP_2498","Creative use: 処刑前夜の宗教的沈黙として使える。 Verification needed: yes.","timeline_entry","1867-06-18 22:00","処刑前夜、MaximilianはThomas à Kempisの『キリストに倣いて』を読み、午後10時頃に眠りについた。","The Last Emperor of Mexico: A Disaster in the New World","処刑前夜の宗教的沈黙として使える。","yes"
"TIME_MEXEMP_0409","1867年6月18日午後11時頃、EscobedoはMaximilianを訪れた","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-18 23:00","","approximate_hour","Gregorian","primary_testimony","probable","処刑前夜、EscobedoはMaximilianを訪れたが、赦免ではなく最後の敬意を示すための訪問だった。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Mariano Escobedo; Maximilian; Samuel Basch","Execution of Maximilian, Miramón and Mejía","Querétaro","republican forces","military courtesy; false hope; execution protocol","FACT_MEXEMP_2499","Creative use: 赦免期待を打ち消す場面として使える。 Verification needed: yes.","timeline_entry","1867-06-18 23:00","処刑前夜、EscobedoはMaximilianを訪れたが、赦免ではなく最後の敬意を示すための訪問だった。","The Last Emperor of Mexico: A Disaster in the New World","赦免期待を打ち消す場面として使える。","yes"
"TIME_MEXEMP_0410","1867年6月19日午前3時半、Maximilianは目覚め告解者を迎えた","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-19 03:30","","hour","Gregorian","primary_testimony","probable","処刑当日、Maximilianは午前3時半に目覚め、その後まもなく告解者を迎えた。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian","Execution of Maximilian, Miramón and Mejía","Querétaro","Catholic Church","confession; final morning","FACT_MEXEMP_2500","Creative use: 処刑当日朝の開始点として使える。 Verification needed: yes.","timeline_entry","1867-06-19 03:30","処刑当日、Maximilianは午前3時半に目覚め、その後まもなく告解者を迎えた。","The Last Emperor of Mexico: A Disaster in the New World","処刑当日朝の開始点として使える。","yes"
"TIME_MEXEMP_0411","1867年6月19日午前5時、三人はミサを聴き朝食をとった","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-19 05:00","","hour","Gregorian","primary_testimony","probable","MaximilianはMiramón、Mejíaと共にミサを聴き、その後、コーヒー、鶏肉、パン、赤ワイン少量の朝食をとった。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian; Miguel Miramón; Tomás Mejía","Execution of Maximilian, Miramón and Mejía","Querétaro","Catholic Church","mass; final meal; Catholic ritual","FACT_MEXEMP_2501","Creative use: 処刑前の最後の食事として使える。 Verification needed: yes.","timeline_entry","1867-06-19 05:00","MaximilianはMiramón、Mejíaと共にミサを聴き、その後、コーヒー、鶏肉、パン、赤ワイン少量の朝食をとった。","The Last Emperor of Mexico: A Disaster in the New World","処刑前の最後の食事として使える。","yes"
"TIME_MEXEMP_0412","1867年6月19日朝、三人はCerro de las Campanasへ連行された","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-19","","approximate_period","Gregorian","historical_fact","probable","処刑当日朝、Maximilian、Miramón、Mejíaは馬車でCerro de las Campanasへ連行された。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian; Miguel Miramón; Tomás Mejía","Execution of Maximilian, Miramón and Mejía","Querétaro; Cerro de las Campanas","republican forces; firing squad","execution procession; public execution","FACT_MEXEMP_2502;FACT_MEXEMP_2503;FACT_MEXEMP_2504;FACT_MEXEMP_2505;FACT_MEXEMP_2506;FACT_MEXEMP_2507;FACT_MEXEMP_2508","Creative use: 処刑場への移動シーンとして使える。 Verification needed: yes.","timeline_entry","1867-06-19","処刑当日朝、Maximilian、Miramón、Mejíaは馬車でCerro de las Campanasへ連行された。","The Last Emperor of Mexico: A Disaster in the New World","処刑場への移動シーンとして使える。","yes"
"TIME_MEXEMP_0413","1867年6月19日、Cerro de las Campanasで三人は銃撃を受けた","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-19","","approximate_period","Gregorian","primary_testimony","probable","Cerro de las CampanasでMaximilian、Miramón、Mejíaは処刑隊の前に立ち、Maximilianは最後の言葉を述べ、銃撃を受けた。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","Maximilian; Miguel Miramón; Tomás Mejía","Execution of Maximilian, Miramón and Mejía","Cerro de las Campanas; Querétaro","firing squad; Republic of Mexico","execution; final words; martyrdom narrative; republican victory","FACT_MEXEMP_2509;FACT_MEXEMP_2510;FACT_MEXEMP_2511;FACT_MEXEMP_2512;FACT_MEXEMP_2513","Creative use: Chapter 2の決定的終幕として使える。 Verification needed: yes.","timeline_entry","1867-06-19","Cerro de las CampanasでMaximilian、Miramón、Mejíaは処刑隊の前に立ち、Maximilianは最後の言葉を述べ、銃撃を受けた。","The Last Emperor of Mexico: A Disaster in the New World","Chapter 2の決定的終幕として使える。","yes"
