"id","title","status","created","updated","tags","source_id","chapter","page","kindle_location","screenshot_file","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","type","source_title","statement","source_note","japanese_note","cautions","verification_needed"
"FACT_MEXEMP_2561","BazaineはMetzで降伏した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","103枚目末尾から続き、食糧不足・疾病蔓延・新共和国への支持不足を背景に、Bazaineも降伏したと叙述される。","103枚目末尾から続き、食糧不足・疾病蔓延・新共和国への支持不足を背景に、Bazaineも降伏したと叙述される。","Source note: Bazaine too surrendered. Japanese note: Bazaine降伏の背景説明。","Cautions: 冒頭が前ページからの接続である点に注意。 Verification needed: yes.","Maximilianとの並行構造を作る素材。","Achille Bazaine","Siege of Metz; Franco-Prussian War","Metz","Army of the Rhine; French republic","surrender; collapse","","","fact","The Last Emperor of Mexico: A Disaster in the New World","103枚目末尾から続き、食糧不足・疾病蔓延・新共和国への支持不足を背景に、Bazaineも降伏したと叙述される。","Bazaine too surrendered","Bazaine降伏の背景説明。","冒頭が前ページからの接続である点に注意。","yes"
"FACT_MEXEMP_2562","Bazaineは敗戦のスケープゴートになった","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","author_interpretation","probable","Franceは敗戦後に責任を負わせる人物を必要とし、Bazaineは反逆罪で有罪・死刑判決を受けたとされる。","Franceは敗戦後に責任を負わせる人物を必要とし、Bazaineは反逆罪で有罪・死刑判決を受けたとされる。","Source note: scapegoat. Japanese note: Shawcrossの責任転嫁構図。","Cautions: scapegoatは著者評価を含む。 Verification needed: yes.","敗戦責任論として使える。","Achille Bazaine","Franco-Prussian War","France","French republic","scapegoating; treason","","","fact","The Last Emperor of Mexico: A Disaster in the New World","Franceは敗戦後に責任を負わせる人物を必要とし、Bazaineは反逆罪で有罪・死刑判決を受けたとされる。","scapegoat","Shawcrossの責任転嫁構図。","scapegoatは著者評価を含む。","yes"
"FACT_MEXEMP_2563","Bazaineの死刑判決は収監刑に減刑された","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","Bazaineへの死刑判決は、Île Sainte-Margueriteでの収監刑に減じられた。","Bazaineへの死刑判決は、Île Sainte-Margueriteでの収監刑に減じられた。","Source note: Île Sainte-Marguerite. Japanese note: 判決後の処遇。","Cautions: 司法手続の詳細は別史料で確認。 Verification needed: yes.","失脚した軍人の孤立を描く素材。","Achille Bazaine","Bazaine trial","Île Sainte-Marguerite","French republic","punishment; exile","","","fact","The Last Emperor of Mexico: A Disaster in the New World","Bazaineへの死刑判決は、Île Sainte-Margueriteでの収監刑に減じられた。","Île Sainte-Marguerite","判決後の処遇。","司法手続の詳細は別史料で確認。","yes"
"FACT_MEXEMP_2564","Bazaineは1874年8月に脱獄した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","1874年8月、Bazaineは労働者に変装して刑務所を出て、Josefa Peñaの待つ船で逃れたとされる。","1874年8月、Bazaineは労働者に変装して刑務所を出て、Josefa Peñaの待つ船で逃れたとされる。","Source note: disguised as a workman. Japanese note: 脱獄と妻の支援。","Cautions: 回想・伝記的細部は要確認。 Verification needed: yes.","逃亡劇として使える。","Achille Bazaine; Josefa Peña","Bazaine escape","Île Sainte-Marguerite; Madrid","French republic","escape; loyalty","","","fact","The Last Emperor of Mexico: A Disaster in the New World","1874年8月、Bazaineは労働者に変装して刑務所を出て、Josefa Peñaの待つ船で逃れたとされる。","disguised as a workman","脱獄と妻の支援。","回想・伝記的細部は要確認。","yes"
"FACT_MEXEMP_2565","Bazaineは晩年を貧困のうちに過ごした","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","BazaineはMadridへ逃れた後、晩年を孤独と貧困のうちに過ごし、1888年に死去したとされる。","BazaineはMadridへ逃れた後、晩年を孤独と貧困のうちに過ごし、1888年に死去したとされる。","Source note: final years. Japanese note: かつての有力者の没落。","Cautions: 晩年の生活実態は要確認。 Verification needed: yes.","栄光から貧困への転落として使える。","Achille Bazaine; Josefa Peña","Bazaine exile","Madrid","French press","downfall; poverty","","","fact","The Last Emperor of Mexico: A Disaster in the New World","BazaineはMadridへ逃れた後、晩年を孤独と貧困のうちに過ごし、1888年に死去したとされる。","final years","かつての有力者の没落。","晩年の生活実態は要確認。","yes"
"FACT_MEXEMP_2566","French pressはBazaineを裏切り者として扱った","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","primary_testimony","probable","French pressはBazaineの死を喜びをもって報じ、彼を終生裏切り者として扱ったとされる。","French pressはBazaineの死を喜びをもって報じ、彼を終生裏切り者として扱ったとされる。","Source note: forever a traitor. Japanese note: 報道反応に基づく記憶の固定。","Cautions: 新聞原文未確認。 Verification needed: yes.","世論と報道の冷酷さを描ける。","Achille Bazaine","Bazaine death","France","French press","public memory; treason","","","fact","The Last Emperor of Mexico: A Disaster in the New World","French pressはBazaineの死を喜びをもって報じ、彼を終生裏切り者として扱ったとされる。","forever a traitor","報道反応に基づく記憶の固定。","新聞原文未確認。","yes"
"FACT_MEXEMP_2567","Márquezは1867年6月21日までMexico Cityを保持した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","Leonardo MárquezはMaximilian処刑の二日後、1867年6月21日までMexico Cityを保持したとされる。","Leonardo MárquezはMaximilian処刑の二日後、1867年6月21日までMexico Cityを保持したとされる。","Source note: June 21, 1867. Japanese note: 帝政残党の首都保持。","Cautions: 日付と軍事経過は要確認。 Verification needed: yes.","首都の終末状況を描ける。","Leonardo Márquez; Maximilian","Fall of Mexico City","Mexico City","Mexican Empire; Republic of Mexico","imperial collapse","","","fact","The Last Emperor of Mexico: A Disaster in the New World","Leonardo MárquezはMaximilian処刑の二日後、1867年6月21日までMexico Cityを保持したとされる。","June 21, 1867","帝政残党の首都保持。","日付と軍事経過は要確認。","yes"
"FACT_MEXEMP_2568","MárquezはMexico Cityを私領のように支配したとされる","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","author_interpretation","probable","Shawcrossは、MárquezがMexico Cityを私領のように支配し、住民から金を取り立てたと叙述する。","Shawcrossは、MárquezがMexico Cityを私領のように支配し、住民から金を取り立てたと叙述する。","Source note: personal fiefdom. Japanese note: Márquez支配への著者評価。","Cautions: 私領・徴発は評価語を含むため要検証。 Verification needed: yes.","首都の閉塞感・恐怖の描写に使える。","Leonardo Márquez","Fall of Mexico City","Mexico City","Mexican Empire","coercion; urban rule","","","fact","The Last Emperor of Mexico: A Disaster in the New World","Shawcrossは、MárquezがMexico Cityを私領のように支配し、住民から金を取り立てたと叙述する。","personal fiefdom","Márquez支配への著者評価。","私領・徴発は評価語を含むため要検証。","yes"
"FACT_MEXEMP_2569","Maximilianの死が外国人義勇兵に伝えられDíazが首都を取った","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","Austrian diplomatがMaximilianの死を外国人義勇兵に伝えた後、Porfirio DíazがMexico Cityを占領したとされる。","Austrian diplomatがMaximilianの死を外国人義勇兵に伝えた後、Porfirio DíazがMexico Cityを占領したとされる。","Source note: emperor was dead. Japanese note: 死の情報が軍事的終結に影響。","Cautions: 外交官名と伝達経路は要確認。 Verification needed: yes.","皇帝死去の知らせが都市を動かす場面。","Maximilian; Porfirio Díaz","Fall of Mexico City","Mexico City","Austrian representatives; foreign volunteers; Republic of Mexico","surrender; communication","","","fact","The Last Emperor of Mexico: A Disaster in the New World","Austrian diplomatがMaximilianの死を外国人義勇兵に伝えた後、Porfirio DíazがMexico Cityを占領したとされる。","emperor was dead","死の情報が軍事的終結に影響。","外交官名と伝達経路は要確認。","yes"
"FACT_MEXEMP_2570","Santiago Vidaurriは発見後すぐ処刑された","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","historical_fact","probable","Santiago Vidaurriは発見され、すぐに処刑されたとShawcrossは述べる。","Santiago Vidaurriは発見され、すぐに処刑されたとShawcrossは述べる。","Source note: promptly executed. Japanese note: 帝政協力者処理の一例。","Cautions: 法的手続・処刑日を要確認。 Verification needed: yes.","戦後処理の緊張を描ける。","Santiago Vidaurri","republican reprisals","Mexico","Juárez government; Republic of Mexico","punishment; postwar justice","","","fact","The Last Emperor of Mexico: A Disaster in the New World","Santiago Vidaurriは発見され、すぐに処刑されたとShawcrossは述べる。","promptly executed","帝政協力者処理の一例。","法的手続・処刑日を要確認。","yes"
