id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions
FC-1864-001,Example Maximilian Arrival,draft,2026-05-31,2026-05-31,fact-card;example,SRC-EXAMPLE-001,1,10,,SRC-EXAMPLE-001_ch01_p0010_20260531_01.png,historical_fact,uncertain,Maximilian arrived in Mexico in 1864.,Short summary only.,Paraphrase the evidence and keep citation details.,Check against another source.,Possible opening reference.,Maximilian,Second_Mexican_Empire,Veracruz,,Foreign_Intervention,,
FACT_MEXEMP_0001,1867年春、マクシミリアンら三人はケレタロで死刑を待っていた,draft,2026-05-31,2026-05-31,fact-card;prologue;mexemp,SRC_UNSET_001,Prologue,Prologue pp. 1-4? 版差あり,,プロローグ.txt,historical_fact,probable,1867年春、フェルディナント・マクシミリアン、ミゲル・ミラモン、トマス・メヒアの三人は、ケレタロの旧修道院に収監され、死刑を待つ政治犯として描かれている。,小説冒頭の場面設定として非常に使いやすい。三人を同じ空間に置きつつ、出自・思想・運命の違いを対比できる。,プロローグ冒頭で、1867年春に三人がケレタロで死刑を待っていたと説明される。,Capuchin Convent / Convento de Capuchinas 収監は外部資料でも支持される。独房寸法、処刑直前の会話などは別史料で確認が必要。Verification needed: true.,処刑前夜または処刑前朝の緊張感、旧修道院の独房、砲撃で荒廃した街を導入場面に使える。,Ferdinand Maximilian;Miguel Miramón;Tomás Mejía,Fall of Querétaro;Execution of Maximilian,Querétaro,Conservative Party,execution;conservative defeat;imperial collapse,,
FACT_MEXEMP_0002,ミラモンは保守派支持者から大統領と見なされた人物だった,draft,2026-05-31,2026-05-31,fact-card;prologue;mexemp,SRC_UNSET_001,Prologue,Prologue pp. 1-2? 版差あり,,プロローグ.txt,historical_fact,probable,ミゲル・ミラモンは、保守党支持者からはメキシコ大統領と見なされたが、反対派はその任命を承認していなかった。,「大統領だった」と単純化せず、保守派側の正統性主張と自由派側の否認を分ける必要がある。,ミラモンの大統領性について、支持者と反対者で承認が分かれていたと説明される。,Miramónが保守派側の暫定大統領だったことは外部資料でも支持される。法的正統性はJuárez側からの否認と分けて扱うこと。Verification needed: true.,ミラモンに「私は反逆者ではない、正統政府のために戦った」という台詞を与える根拠になる。,Miguel Miramón,War of Reform,Mexico,Conservative Party,legitimacy;conservative politics;civil war,,
FACT_MEXEMP_0003,メヒアはオトミ系の保守派軍人として描かれている,draft,2026-05-31,2026-05-31,fact-card;prologue;mexemp,SRC_UNSET_001,Prologue,Prologue p. 2? 版差あり,,プロローグ.txt,author_interpretation,probable,トマス・メヒアは、シエラ・ゴルダ地方に由来するオトミ系人物であり、敬虔で独立心の強い先住民保守派支持者の一類型として描かれている。,共和派＝先住民・民衆、保守派＝白人上層という単純図式を崩す材料になる。,メヒアについて、オトミ系であり、敬虔かつ独立心の強い先住民保守派支持者を代表する人物として位置づけられている。,Sierra Gorda出身・先住民系・保守派軍人という基本線は外部資料でも支持される。本人の宗教的動機や政治的自己認識は一次史料で補強したい。Verification needed: true.,メヒアを、信仰・地域共同体・独立心に基づく選択をした人物として描ける。,Tomás Mejía,Conservative resistance,Sierra Gorda;Mexico,Conservative Party,indigenous conservatives;Catholic piety;regional autonomy,,
FACT_MEXEMP_0004,マクシミリアンは自らを自由主義者と主張していた,draft,2026-05-31,2026-05-31,fact-card;prologue;mexemp,SRC_UNSET_001,Prologue,Prologue p. 2? 版差あり,,プロローグ.txt,historical_fact,probable,マクシミリアンは、メキシコ皇帝を称しながらも、自分は保守派ではなく自由主義者であると主張していた。,マクシミリアンを単純な反動君主として描かないための重要要素。,プロローグでは、マクシミリアンがメキシコ滞在三年であり、自分を保守派ではなく自由主義者と主張したと説明される。,「自由主義者」という自己認識と実際の政策・同盟関係は分けて検討する必要がある。Verification needed: true.,保守派に担がれた自由主義的皇帝という矛盾を、人物造形の中心軸にできる。,Ferdinand Maximilian,Second Mexican Empire,Mexico,Habsburg family;Second Mexican Empire,liberal monarchy;political contradiction;legitimacy,,
FACT_MEXEMP_0005,著者はマクシミリアン事件を欧州君主制と米州共和制の衝突として位置づける,draft,2026-05-31,2026-05-31,fact-card;prologue;mexemp,SRC_UNSET_001,Prologue,Prologue p. 3? 版差あり,,プロローグ.txt,author_interpretation,probable,著者は、マクシミリアンのメキシコ皇帝即位を、個人の悲劇だけでなく、王朝的ヨーロッパによる共和制アメリカ大陸への挑戦として解釈している。,小説全体の大枠として有効。ただしヨーロッパ中心の大河悲劇に寄りすぎる危険がある。,著者は、マクシミリアンの物語を、皇帝対大統領、君主制対共和制、ヨーロッパ対アメリカという構図で提示している。,メキシコ国内の自由主義改革、教会財産、地方政治、先住民社会の論点を圧縮しすぎないこと。Verification needed: false.,各陣営の人物に、世界史の分岐点に立っているという意識を持たせられる。,Ferdinand Maximilian;Napoleon III,French intervention in Mexico;Second Mexican Empire,Mexico;Europe;United States,French Empire;Second Mexican Empire,monarchy vs republic;Old World vs New World;imperialism;Monroe Doctrine,,
FACT_MEXEMP_0006,フランスのメキシコ介入はモンロー主義への重大な挑戦として描かれている,draft,2026-05-31,2026-05-31,fact-card;prologue;mexemp,SRC_UNSET_001,Prologue,Prologue p. 3? 版差あり,,プロローグ.txt,author_interpretation,probable,著者は、1862年のフランス軍によるメキシコ侵攻とマクシミリアンの帝国創出を、モンロー主義に対する19世紀最大級の挑戦として位置づけている。,アメリカ南北戦争中だったため、米国が即時介入しにくかった背景も後続カードで整理したい。,プロローグでは、フランス軍の1862年侵攻が、モンロー主義への重大な挑戦として叙述される。,「最大級の挑戦」という表現は著者評価。外交史上の比較評価は別史料で確認する。Verification needed: true.,ナポレオン3世側の戦略判断、米国側の警戒、メキシコ共和派の国際政治感覚を描く軸になる。,Napoleon III;Ferdinand Maximilian,French intervention in Mexico;Monroe Doctrine challenge,Mexico;United States;France,French Empire,Monroe Doctrine;foreign intervention;imperial geopolitics,,
FACT_MEXEMP_0007,マクシミリアンはハプスブルク家の大公として生まれた,draft,2026-05-31,2026-05-31,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,historical_fact,probable,フェルディナント・マクシミリアンは、ヨーロッパ最古級の王家の一つであるハプスブルク家の大公として生まれた。,メキシコ帝位に就く前の身分的背景として基本カード化する。,画像冒頭で、マクシミリアンがハプスブルク家の大公であると説明される。,詳細な出生年月日・出生地は別カードで確認する。Verification needed: true.,マクシミリアンの自意識、格式、宮廷的価値観を描く基礎にできる。,Ferdinand Maximilian,,Austria,House of Habsburg,dynastic legitimacy;Habsburg identity,,
FACT_MEXEMP_0008,ハプスブルク家の帝国的記憶は幼少期のマクシミリアンを魅了したと著者は述べる,draft,2026-05-31,2026-05-31,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,author_interpretation,probable,著者は、ハプスブルク家の世界帝国としての過去とその記憶が、幼少期のマクシミリアンを強く魅了したと解釈している。,史実というより、著者による人物形成の解釈として扱う。,宮殿内の装飾やハプスブルクの過去の栄光が、マクシミリアンの幼少期に影響したという叙述。,幼少期本人の内面を直接示す一次資料があるかは未確認。Verification needed: true.,マクシミリアンがメキシコ帝位を家門の過去と結びつけて想像する描写に使える。,Ferdinand Maximilian;Charles V,,Austria;Mexico,House of Habsburg,imperial memory;childhood imagination;Habsburg myth,,
FACT_MEXEMP_0009,カール5世時代、メキシコはハプスブルク支配圏に入った,draft,2026-05-31,2026-05-31,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,historical_fact,probable,16世紀、カール5世の時代に、メキシコはハプスブルク家の支配圏に組み込まれた。,マクシミリアンのメキシコ帝位を、ハプスブルク家の過去の支配圏の記憶と結びつける材料になる。,カール5世の帝国がメキシコを含む広大な支配圏を持ったと説明される。,スペイン王冠・新スペイン副王領の制度として正確化が必要。Verification needed: true.,メキシコを家門の遠い記憶の土地として見る描写に使える。,Charles V,Spanish conquest of Mexico,Mexico;Spain;Austria,House of Habsburg,Habsburg empire;Mexico and Europe,,
