id,title,status,created,updated,tags,date_start,date_end,date_precision,calendar,evidence_category,confidence,summary,source_id,chapter,page,kindle_location,screenshot_file,people,events,places,organizations,themes,related_fact_cards,notes
TL-18640528-001,Example Arrival,draft,2026-05-31,2026-05-31,timeline;example,1864-05-28,,day,Gregorian,historical_fact,uncertain,Maximilian arrives in Mexico.,SRC-EXAMPLE-001,1,10,,SRC-EXAMPLE-001_ch01_p0010_20260531_01.png,Maximilian,Second_Mexican_Empire,Veracruz,,Foreign_Intervention,FC-1864-001,Verify date and place.
TIME_MEXEMP_0001,1862年、フランス軍がメキシコに侵攻した,draft,2026-05-31,2026-05-31,timeline;prologue;mexemp,1862,,year,Gregorian,historical_fact,probable,フランス軍がメキシコに侵攻し、マクシミリアンを統治者とする王国・帝国の創出へ向かう軍事的前提を作った。,SRC_UNSET_001,Prologue,Prologue p. 3? 版差あり,,プロローグ.txt,Napoleon III;Ferdinand Maximilian,French intervention in Mexico;Second Mexican Empire,Mexico;France,French Empire,foreign intervention;Monroe Doctrine;monarchy vs republic,FACT_MEXEMP_0006;FACT_MEXEMP_0005,"External check: French intervention chronology is supported by Americas Quarterly, FRUS context, and Britannica summaries; exact Shawcross eBook page remains unconfirmed. Creative use: ナポレオン3世の野心と、マクシミリアン帝国成立の軍事的背景を示す年表項目として使える。 Verification needed: true."
TIME_MEXEMP_0002,1867年春、三人はケレタロで死刑を待っていた,draft,2026-05-31,2026-05-31,timeline;prologue;mexemp,1867,,season,Gregorian,historical_fact,probable,1867年春、マクシミリアン、ミラモン、メヒアの三人はケレタロで死刑を待つ身となっていた。,SRC_UNSET_001,Prologue,Prologue pp. 1-4? 版差あり,,プロローグ.txt,Ferdinand Maximilian;Miguel Miramón;Tomás Mejía,Fall of Querétaro;Execution of Maximilian,Querétaro,Second Mexican Empire;Conservative Party,execution;imperial collapse;conservative defeat,FACT_MEXEMP_0001,External check: FRUS confirms the June 1867 council-of-war sentence and 19 June execution; Capuchin Convent imprisonment is supported by Querétaro/Catholic Encyclopedia sources. Season: spring. Creative use: 小説の冒頭または終盤の到達点として設定できる。 Verification needed: true.
TIME_MEXEMP_0003,1556年、カール5世が帝国を分割した,draft,2026-05-31,2026-05-31,timeline;chapter2;mexemp;shawcross,1556,,year,Gregorian,historical_fact,probable,カール5世が帝国を、スペイン領を継承するフェリペ2世と、中欧領を継承する弟の系統に分けた。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,Charles V;Philip II,Division of Charles V's empire,Spain;Central Europe,House of Habsburg,dynastic succession;Habsburg division,FACT_MEXEMP_0010,Creative use: ハプスブルク家とメキシコの関係を説明する前史に使える。 Verification needed: true.
TIME_MEXEMP_0004,1700年、スペイン系ハプスブルク家が断絶した,draft,2026-05-31,2026-05-31,timeline;chapter2;mexemp;shawcross,1700,,year,Gregorian,historical_fact,probable,スペイン系ハプスブルク家が断絶し、ハプスブルク家の主要な存続線はオーストリア系となった。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,,Extinction of the Spanish Habsburg line,Spain;Austria,Spanish Habsburgs;Austrian Habsburgs,dynastic extinction,FACT_MEXEMP_0011,Creative use: マクシミリアンとカール5世時代のメキシコ支配の間にある家系上・時代上の距離を示せる。 Verification needed: true.
TIME_MEXEMP_0005,1830年、ゾフィーがフランツ・ヨーゼフを出産した,draft,2026-05-31,2026-05-31,timeline;chapter2;mexemp;shawcross,1830,,year,Gregorian,historical_fact,probable,ゾフィー・フォン・バイエルンがフランツ・ヨーゼフを出産した。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,Sophie of Bavaria;Franz Joseph,Birth of Franz Joseph,Austria,House of Habsburg,Habsburg succession,FACT_MEXEMP_0017,Creative use: マクシミリアンの兄フランツ・ヨーゼフとの年齢差・教育環境の前提になる。 Verification needed: true.
TIME_MEXEMP_0006,1832年7月、ライヒシュタット公が死去した,draft,2026-05-31,2026-05-31,timeline;chapter2;mexemp;shawcross,1832-07,,month,Gregorian,historical_fact,probable,ナポレオン2世ことライヒシュタット公が結核により死去した。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,Napoleon II / Duke of Reichstadt;Sophie of Bavaria;Ferdinand Maximilian,Death of the Duke of Reichstadt,Vienna,House of Habsburg;Bonaparte family,Habsburg-Bonaparte connection;paternity rumor background,FACT_MEXEMP_0015;FACT_MEXEMP_0016,Creative use: マクシミリアン誕生直後の宮廷内の噂や感情を描く背景に使える。 Verification needed: true.
TIME_MEXEMP_0007,1833年、カール・ルートヴィヒが生まれた,draft,2026-05-31,2026-05-31,timeline;chapter2;mexemp;shawcross,1833,,year,Gregorian,historical_fact,probable,カール・ルートヴィヒが生まれ、フランツ・ヨーゼフ、マクシミリアンと共に教育される弟として言及される。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,Karl Ludwig;Franz Joseph;Ferdinand Maximilian,Birth of Karl Ludwig,Austria,House of Habsburg,royal childhood;sibling education,FACT_MEXEMP_0017,Creative use: ハプスブルク兄弟の教育環境を描く背景に使える。 Verification needed: true.
TIME_MEXEMP_0008,1835年、フェルディナントがオーストリア皇帝となった,draft,2026-05-31,2026-05-31,timeline;chapter2;mexemp;shawcross,1835,,year,Gregorian,historical_fact,probable,フェルディナントがオーストリア皇帝となった。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400,No. 459/7062,スクリーンショット 2026-05-31 12.54.48.png,Ferdinand I of Austria;Franz Karl,Accession of Ferdinand I of Austria,Austria,Austrian Empire;House of Habsburg,succession politics;imperial weakness,FACT_MEXEMP_0013,Creative use: フランツ・カール家の子供たちが継承政治上重要になる背景として使える。 Verification needed: true.
TIME_MEXEMP_0009,1848年3月、革命情勢によりマクシミリアンの教育が中断された,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848-03,,month,Gregorian,historical_fact,probable,Maximilianが16歳になる直前、パリ二月革命の報がウィーンに届き、彼の教育が中断された。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400 continuity_from_previous_screenshot,around No.459/7062; exact_location_not_visible_in_second_screenshot,スクリーンショット 2026-05-31 13.04.05.png,Maximilian,February Revolution in Paris;1848 revolutionary unrest in Vienna,Vienna;Paris,House of Habsburg;Habsburg monarchy,1848 revolutions;Habsburg crisis;political awakening,FACT_MEXEMP_0033,Creative use: 宮廷教育から革命政治へ移る転換点として使える。 Verification needed: ウィーンに報が届いた正確な時期、教育中断の具体的内容を確認。
TIME_MEXEMP_0010,1848年3月3日、ラヨシュ・コシュートがハプスブルク体制批判の演説を行った,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848-03-03,,day,Gregorian,historical_fact,probable,ハンガリーで、民族主義者Lajos Kossuthがハプスブルク体制を批判する激しい演説を行った。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 37/400 continuity_from_previous_screenshot,around No.459/7062; exact_location_not_visible_in_second_screenshot,スクリーンショット 2026-05-31 13.04.05.png,Lajos Kossuth;Maximilian,"Hungarian insurrection;Lajos Kossuth speech of March 3, 1848",Hungary;Vienna,Habsburg monarchy,nationalism;1848 revolutions;Habsburg crisis,FACT_MEXEMP_0033,Creative use: ハプスブルク帝国が多民族帝国として動揺していた背景を示す。 Verification needed: Kossuth演説の場所、内容、同時代反応を別資料で確認。
TIME_MEXEMP_0011,1848年3月13日、ウィーンで群衆がHofburgへ行進した,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848-03-13,,day,Gregorian,historical_fact,probable,ウィーンで数千人の群衆がHofburgへ行進し、軍との衝突と発砲を経て革命情勢が本格化した。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 42/400,No. 535/7062,スクリーンショット 2026-05-31 13.04.37.png,Klemens von Metternich,Vienna uprising of March 1848,Vienna;Hofburg,Austrian government;Austrian army,revolution;state violence;constitutionalism,FACT_MEXEMP_0036;FACT_MEXEMP_0037;FACT_MEXEMP_0038;FACT_MEXEMP_0039,Creative use: 宮廷が街頭政治に圧倒される場面として利用可能。 Verification needed: yes.
TIME_MEXEMP_0012,1848年5月17日、皇帝一家がウィーンを離れた,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848-05-17,,day,Gregorian,historical_fact,probable,帝国政府が首都統制を失う中、皇帝一家はウィーンを離れた。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 42/400,No. 535/7062,スクリーンショット 2026-05-31 13.04.37.png,Emperor Ferdinand;Sophie;Franz Karl;Maximilian,Flight of the imperial family from Vienna,Vienna,imperial family;Habsburg Monarchy,monarchy;revolution;humiliation,FACT_MEXEMP_0040;FACT_MEXEMP_0041,Creative use: Maximilianの若年期に刻まれた王朝的屈辱として描ける。 Verification needed: yes.
TIME_MEXEMP_0013,1848年12月2日、Franz Josephがオーストリア皇帝となった,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848-12-02,,day,Gregorian,historical_fact,probable,Ferdinand退位後、Franz Josephがオーストリア皇帝となり、Maximilianは兄の即位を見届けた。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 42/400,No. 535/7062,スクリーンショット 2026-05-31 13.04.37.png,Emperor Ferdinand;Franz Joseph;Maximilian;Sophie;Franz Karl,Ferdinand's abdication;Franz Joseph's accession,Austrian Empire,Habsburg Monarchy;imperial family,dynastic succession;monarchy;sibling rivalry,FACT_MEXEMP_0044;FACT_MEXEMP_0045;FACT_MEXEMP_0046;FACT_MEXEMP_0047;FACT_MEXEMP_0048;FACT_MEXEMP_0049,Creative use: Maximilianの政治的位置が大きく変わる転換点。 Verification needed: yes.
TIME_MEXEMP_0014,1815年、オーストリアは旧ヴェネツィア共和国領の支配を確認された,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1815,,year,Gregorian,historical_fact,probable,オーストリアは旧ヴェネツィア共和国領の支配を確認され、同地域はLombardy-Venetiaとして組織されたとされる。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 45/400,No.573/7062,スクリーンショット 2026-05-31 13.04.55.png,,post_Napoleonic_settlement,Lombardy-Venetia;Venice,Austrian Empire;Venetian Republic,territorial_order;Austrian_Empire;Italian_question,FACT_MEXEMP_0056;FACT_MEXEMP_0057,Creative use: オーストリア海軍の出自と北イタリア支配の背景に使える。 Verification needed: yes.
TIME_MEXEMP_0015,1848年、オーストリア海軍は忠誠問題を露呈した,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848,,year,Gregorian,historical_fact,probable,主にイタリア人乗組員から成るオーストリア海軍は、1848年革命期にハプスブルクへの忠誠問題を露呈したとされる。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 45/400,No.573/7062,スクリーンショット 2026-05-31 13.04.55.png,,Revolutions_of_1848,Italy;Adriatic Sea,Austrian Navy;Habsburg dynasty;Italian revolutionaries,nationalism;military_loyalty;imperial_fragility,FACT_MEXEMP_0058,Creative use: 多民族帝国の軍事的脆弱性として使える。 Verification needed: yes.
TIME_MEXEMP_0016,1848〜1849年、Novaraはオーストリア勝利の記憶と結びつけられた,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1848,1849,year_range,Gregorian,historical_fact,probable,Novaraは、1848〜1849年革命戦争期のイタリアでのオーストリア勝利にちなむ艦名と説明されている。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 45/400,No.573/7062,スクリーンショット 2026-05-31 13.04.55.png,Ferdinand Maximilian,Revolutions_of_1848_1849;Novara_naming_context,Italy,Austrian Navy;Habsburg dynasty,military_memory;dynastic_pride,FACT_MEXEMP_0060,Creative use: Maximilianが乗る艦を王朝的勝利の記憶と結びつけられる。 Verification needed: yes.
TIME_MEXEMP_0017,1854年、Maximilianはオーストリア海軍総司令官に任命された,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1854,,year,Gregorian,historical_fact,probable,Maximilianは22歳でオーストリア海軍総司令官に任命されたとされる。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 45/400,No.573/7062,スクリーンショット 2026-05-31 13.04.55.png,Ferdinand Maximilian,Maximilian_appointed_commander_in_chief,Austria,Austrian Navy;Habsburg dynasty,naval_career;youthful_promotion;imperial_office,FACT_MEXEMP_0061,Creative use: 若き大公が実務的責任を負う転機として使える。 Verification needed: yes.
TIME_MEXEMP_0018,1856年、Miramarの建設が始まった,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1856,,year,Gregorian,historical_fact,probable,Trieste近郊でMaximilianの城Miramarの建設が始まったとされる。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 45/400,No.573/7062,スクリーンショット 2026-05-31 13.04.55.png,Ferdinand Maximilian,construction_of_Miramar,Trieste;Miramar;Adriatic Sea,Habsburg dynasty,architecture;dynastic_identity;aesthetic_space,FACT_MEXEMP_0065;FACT_MEXEMP_0066;FACT_MEXEMP_0067;FACT_MEXEMP_0068;FACT_MEXEMP_0069;FACT_MEXEMP_0070,Creative use: Maximilianの美意識と王朝的自己演出を象徴する場面に使える。 Verification needed: yes.
TIME_MEXEMP_0019,1856年5月、MaximilianがFranceでNapoleon IIIと会見した,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1856-05,,month,Gregorian,historical_fact,probable,Maximilianがフランス外交使節としてFranceを訪問し、Napoleon IIIと会見した。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 48/400,No.612/7062,スクリーンショット 2026-05-31 13.05.20.png,Ferdinand Maximilian;Napoleon III,Maximilian_May_1856_diplomatic_mission_to_France,France;Paris,French Second Empire;Habsburg dynasty,diplomacy;European_monarchy;Maximilian_Napoleon_III_relationship,FACT_MEXEMP_0077;FACT_MEXEMP_0078;FACT_MEXEMP_0079;FACT_MEXEMP_0080;FACT_MEXEMP_0081;FACT_MEXEMP_0082;FACT_MEXEMP_0083;FACT_MEXEMP_0084;FACT_MEXEMP_0085,Creative use: 後のメキシコ帝政計画につながる初期接点として配置できる。 Verification needed: yes.
TIME_MEXEMP_0020,1830年、BelgiumでDutch rulersに対する反乱が起きたと本文は説明する,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1830,,year,Gregorian,historical_fact,probable,Franceから広がった革命の影響を背景に、当時Netherlandsの一部だったBelgiumでDutch rulersに対する反乱が起きたと本文は説明する。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 48/400,No.612/7062,スクリーンショット 2026-05-31 13.05.20.png,,Belgian_Revolution;French_July_Revolution,France;Belgium;Netherlands,Belgian rebels;Dutch authorities,revolution;nationalism;European_order,FACT_MEXEMP_0088,Creative use: 欧州革命の波及と保守的秩序再編の背景に使える。 Verification needed: yes.
TIME_MEXEMP_0021,1831年、Belgiumが独立したと本文は説明する,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1831,,year,Gregorian,historical_fact,probable,Belgiumが独立したと本文は説明する。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 48/400,No.612/7062,スクリーンショット 2026-05-31 13.05.20.png,,Belgian_independence,Belgium;Europe,Belgian state;European great powers,state_formation;European_balance_of_power;new_monarchy,FACT_MEXEMP_0087;FACT_MEXEMP_0089;FACT_MEXEMP_0091,Creative use: Carlotaの出自を新国家の王女として整理できる。 Verification needed: yes.
TIME_MEXEMP_0022,1856年、MaximilianはBelgium宮廷訪問の流れでCharlotte / Carlotaと出会ったとされる,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1856,,year,Gregorian,historical_fact,uncertain,France訪問後のBelgium宮廷訪問の流れで、MaximilianはCharlotte / Carlotaと出会ったと本文は示している。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 48/400,No.612/7062,スクリーンショット 2026-05-31 13.05.20.png,Ferdinand Maximilian;Carlota;Leopold Saxe-Coburg-Saalfeld,Maximilian_first_encounter_with_Carlota;Maximilian_Belgium_court_visit,Belgium,Belgian monarchy;Habsburg dynasty,royal_marriage;dynastic_encounter;Carlota,FACT_MEXEMP_0086;FACT_MEXEMP_0092;FACT_MEXEMP_0094;FACT_MEXEMP_0095,Creative use: MaximilianとCarlotaの関係の導入点として使える。画像内で明示年月日が弱いため confidence は uncertain。 Verification needed: yes.
TIME_MEXEMP_0023,1850年夏、10歳のCarlotaが百日咳にかかったとされる,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1850-summer,,season,Gregorian,historical_fact,probable,10歳のCarlotaが百日咳にかかり、母Louise-Marieが看病したとされる。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 50/400,No.654/7062,スクリーンショット 2026-05-31 13.05.25.png,Carlota;Louise-Marie,Carlota's illness,Belgium,Belgian monarchy,illness;childhood;family_trauma,FACT_MEXEMP_0104;FACT_MEXEMP_0105,Creative use: Carlotaの母喪失につながる幼少期の危機として使える。 Verification needed: yes.
TIME_MEXEMP_0024,1850年、Louise-Marieが死亡した,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1850,,year,Gregorian,historical_fact,probable,Louise-Marieが死亡し、Carlotaの性格形成に大きな影響を与えたとShawcrossは説明している。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 50/400,No.654/7062,スクリーンショット 2026-05-31 13.05.25.png,Louise-Marie;Carlota,Death of Louise-Marie,Belgium,Belgian monarchy,bereavement;family_trauma;personality_formation,FACT_MEXEMP_0105;FACT_MEXEMP_0106,死亡はhistorical_factとして扱うが、性格形成への影響はShawcrossの解釈。 Creative use: Carlotaの厳格さ・使命感の起点として使える。 Verification needed: yes.
TIME_MEXEMP_0025,1857年7月27日、CarlotaとMaximilianがBrusselsで結婚した,draft,2026-06-01,2026-06-01,timeline;chapter2;mexemp;shawcross,1857-07-27,,day,Gregorian,historical_fact,probable,CarlotaとMaximilianの結婚式がBrusselsで行われた。,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,2 THE ARCHDUKE AND THE PRINCESS,Kindle PC 50/400,No.654/7062,スクリーンショット 2026-05-31 13.05.25.png,Carlota;Ferdinand Maximilian;Leopold I;Franz Joseph,Carlota-Maximilian wedding,Brussels;Belgium,Belgian monarchy;Habsburg monarchy,dynastic_marriage;ceremony;European_aristocracy,FACT_MEXEMP_0122;FACT_MEXEMP_0123;FACT_MEXEMP_0124,Creative use: MaximilianとCarlotaの関係の公的成立点として使える。 Verification needed: yes.
